#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu64	2	35	9	21	10	4	13	11	12	40	62	3	0	0	0	1	0	0	1	0
Otu188	3	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
Otu201	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0
Otu116	3	0	0	0	0	0	3	0	1	0	0	3	7	0	2	3	3	1	10	0
Otu108	16	1	0	0	3	0	0	3	2	2	3	7	2	0	3	1	7	4	5	0
Otu177	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Otu90	2	1	0	0	0	0	1	0	0	1	0	9	9	5	15	25	8	14	7	0
Otu122	5	2	5	0	2	0	1	1	5	2	4	0	1	7	2	1	1	4	1	0
Otu55	7	24	5	30	7	5	20	19	18	34	27	24	26	3	10	6	10	12	15	0
Otu85	6	0	12	2	3	7	21	4	9	11	27	17	16	2	16	10	6	15	14	0
Otu157	2	1	0	2	5	0	0	0	0	1	1	5	1	0	0	0	0	0	1	0
Otu167	3	54	5	51	5	2	14	8	10	43	57	6	1	0	2	1	0	1	0	0
Otu137	4	0	0	0	0	2	0	0	1	0	0	7	1	7	0	3	1	2	1	0
Otu87	4	0	0	0	0	0	0	0	2	0	0	9	10	2	0	18	11	32	17	0
Otu110	4	1	2	2	3	0	1	3	3	3	3	3	3	0	2	4	0	4	8	0
Otu136	3	1	0	0	0	0	6	0	0	3	1	1	1	0	3	8	0	0	1	0
Otu73	4	13	5	14	0	2	13	17	4	11	15	17	4	3	13	8	4	14	11	0
Otu161	1	1	5	0	0	0	1	1	1	0	0	0	0	1	0	0	1	2	2	0
Otu163	1	1	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0
Otu99	2	0	2	0	2	1	7	3	3	1	1	33	12	8	7	1	0	5	7	0
Otu43	3	6	17	16	15	20	7	15	8	5	11	11	18	43	10	19	35	25	23	0
Otu62	3	7	9	5	2	10	27	8	3	7	15	17	13	3	18	14	7	16	21	0
Otu156	2	2	2	0	0	1	1	0	1	2	0	1	1	1	0	0	0	0	0	0
Otu34	2	65	28	83	50	44	121	16	7	1	0	3	1	3	7	11	1	30	32	0
Otu142	2	0	12	0	0	1	0	1	1	0	0	1	2	4	0	2	3	14	6	0
